num_nodes,delta_t
6, 0.7751173735826296
7, 0.7422535226402291
8, 0.7070422537733715
9, 0.7084507009461704
10, 0.6483567877525648
12, 0.6225351905835359
14, 0.5896713396411355
16, 0.5779342500188496
